date,market,riskfree,return,vol
2015-11-03,0.002082901,0.0026,0.09667303,1.787555228
2015-11-04,-0.00102734,0.0027,-0.022777571,0.441395856
2015-11-05,-0.001674134,0.0027,-0.006844958,-0.311993513
2015-11-06,-0.004391989,0.0031,-0.038893159,-0.363110593
2015-11-09,-0.007611608,0.0034,0.021842457,0.29306192
2015-11-10,-0.001567943,0.0034,-0.122034075,1.173648931
2015-11-12,-0.011180054,0.0034,0.077392878,-0.543960813
2015-11-13,-0.010120182,0.003,0.025104226,-0.42481615
2015-11-16,0.00586806,0.0033,0.032442391,-0.247985506
2015-11-17,0.005611977,0.0034,0.022652351,0.074528658
2015-11-18,0.007958362,0.0031,-0.006299166,-0.466198126
2015-11-19,0.006517457,0.003,-0.024017142,0.232139421
2015-11-20,0.002061773,0.003,-0.017777642,0.767141861
2015-11-23,-0.002692472,0.0035,-0.001142434,0.000542641
2015-11-24,-0.00074948,0.0036,-0.010046368,0.289740948
2015-11-25,0.001137161,0.0038,0.026010929,1.18305879
2015-11-27,-0.002874532,0.0037,0.023462072,-0.50222493
2015-11-30,-0.004267861,0.0042,0.006755858,1.157891237
2015-12-01,0.009437624,0.0041,-0.040289556,-0.095610998
2015-12-02,-0.007723059,0.0041,-0.009662501,-0.307055523
2015-12-03,-0.009632076,0.0044,0.002307158,-0.104454901
2015-12-04,0.007361573,0.0048,0.00429863,-0.474316722
2015-12-07,-0.00521984,0.0056,-0.001057295,-0.425720692
2015-12-09,-0.003664539,0.0052,0.053273525,0.815456334
2015-12-10,-0.001096808,0.0054,-0.003038568,-0.680647512
2015-12-11,-0.015603329,0.0051,0.082579376,2.231982465
2015-12-14,-0.003983629,0.0053,0.018390805,-0.234434469
2015-12-15,0.008563273,0.0053,0.049119639,0.451070761
2015-12-16,0.013441309,0.005,-0.023173251,0.717739578
2015-12-18,-0.012091027,0.0046,0.019978414,-0.61124504
2015-12-21,0.002835356,0.005,-0.015363065,-0.078175913
2015-12-22,0.006415887,0.0046,-4.59E-05,-0.572698548
2015-12-23,0.012425819,0.0046,0.014226709,-0.045092428
2015-12-24,0.001699382,0.0048,0.031425339,0.165618095
2015-12-28,-0.001885663,0.005,-0.006864827,-0.064490361
2015-12-29,0.008148312,0.0049,0.018076439,-0.136077684
2015-12-30,-0.005556687,0.0046,-0.007956136,0.047906796
2015-12-31,-0.006939608,0.0048,0.012300383,-0.048401802
2016-01-04,-0.020377688,0.0048,0.015210991,-0.297773175
2016-01-05,-0.000126325,0.0048,-0.006145136,-0.119138743
2016-01-06,-0.012111922,0.0046,-0.001922097,-0.291264205
2016-01-07,-0.0214941,0.0045,0.060929488,5.382254325
2016-01-08,-0.0083822,0.0044,-0.00513942,-0.337214023
2016-01-11,-0.004674663,0.0047,0.003576698,0.126087492
2016-01-12,0.001235952,0.0046,-0.005702321,-0.239674727
2016-01-13,-0.009028947,0.0045,-0.03326762,2.635139754
2016-01-14,0.001058822,0.0042,-0.004101685,-0.685587073
2016-01-15,-0.017518754,0.0036,-0.164277736,8.322036247
2016-01-19,0.004364866,0.0037,-0.020876395,-0.117085628
2016-01-20,-0.019112894,0.0034,0.10750475,3.817258193
2016-01-21,0.002113755,0.0037,-0.020705266,-0.649509937
2016-01-22,0.026923467,0.004,-0.072990925,1.14415048
2016-01-25,-0.008395372,0.0042,-0.029321946,-0.023914293
2016-01-26,0.007824231,0.0044,0.007213014,-0.552571106
2016-01-27,-0.001552697,0.0042,0.003021992,-0.158013206
2016-01-28,0.001213527,0.0044,-0.041977872,1.930758368
2016-01-29,0.020200932,0.0042,-0.002087793,1.485798007
2016-02-01,0.002692927,0.0046,0.016141388,0.665488401
2016-02-02,-0.017351694,0.0046,0.003984707,-0.578814919
2016-02-03,0.000142908,0.0045,-0.010512202,0.263484276
2016-02-04,0.006894335,0.0042,0.05685945,1.829821465
2016-02-05,-0.014625537,0.0044,-0.00877013,-0.547957355
2016-02-08,-0.015418681,0.0041,-0.004085912,0.292978313
2016-02-09,-0.007139853,0.0042,0.009392966,-0.462124432
